iter	RMSE
0	3.314770395
1	3.309703008
2	3.304861441
3	3.300977722
4	3.296935953
5	3.293351121
6	3.289970238
7	3.285937371
8	3.28285602
9	3.279832329
10	3.276890715
11	3.273940698
12	3.271147992
13	3.268671691
14	3.266061563
15	3.263825993
16	3.262129464
17	3.259741726
18	3.258064276
19	3.256141009
20	3.254530253
21	3.25257748
22	3.250535141
23	3.248897541
24	3.247578291
25	3.246186385
26	3.244962271
27	3.243550622
28	3.242295475
29	3.241176044
30	3.239888736
31	3.23877655
32	3.237792234
33	3.236796395
34	3.235540074
35	3.234496114
36	3.233310648
37	3.232375093
38	3.231059293
39	3.23019841
40	3.229385495
41	3.228271281
42	3.227076528
43	3.226172551
44	3.225503686
45	3.224382863
46	3.223462119
47	3.222501693
48	3.221774836
49	3.2209416
50	3.220193537
51	3.219217529
52	3.218301127
53	3.21744684
54	3.216801473
55	3.215909444
56	3.215121576
57	3.214183589
58	3.21370654
59	3.212895595
60	3.212461663
61	3.211750597
62	3.210940736
63	3.210244908
64	3.209678538
65	3.209360315
66	3.208807992
67	3.208336544
68	3.207739057
69	3.207040106
70	3.206190444
71	3.205623131
72	3.204828588
73	3.204480991
74	3.204007852
75	3.203532468
76	3.202909313
77	3.202510224
78	3.20213125
79	3.201533753
80	3.200996319
81	3.200418575
82	3.199890997
83	3.199585817
84	3.199042583
85	3.19822868
86	3.197797657
87	3.197437824
88	3.197003124
89	3.196382732
90	3.195968632
91	3.19553252
92	3.195254112
93	3.194881653
94	3.194417694
95	3.19400847
96	3.193588013
97	3.193156256
98	3.192638165
99	3.192368588
100	3.191965991
101	3.19157272
102	3.191153023
103	3.19072969
104	3.190154424
105	3.189760361
106	3.189354304
107	3.18913375
108	3.188697952
109	3.188296711
110	3.187906412
111	3.187587035
112	3.187244981
113	3.186808667
114	3.186505419
115	3.18621683
116	3.185925514
117	3.185582491
118	3.185090053
119	3.184638663
120	3.184394707
121	3.183917753
122	3.183445546
123	3.183134784
124	3.182593917
125	3.182194338
126	3.181903705
127	3.18155862
128	3.181299473
129	3.181061803
130	3.180699316
131	3.180400827
132	3.180092767
133	3.179716535
134	3.179424141
135	3.179104355
136	3.178691981
137	3.178542345
138	3.178247154
139	3.177882898
140	3.177685083
141	3.177440525
142	3.177128439
143	3.176854235
144	3.176468045
145	3.176245098
146	3.176011835
147	3.175780275
148	3.175551714
149	3.175272315
150	3.174988267
151	3.174811072
152	3.174576054
153	3.174282035
154	3.174103121
155	3.173759972
156	3.173487847
157	3.173255051
158	3.173073819
159	3.172850485
