iter	Passed	Remaining
0	164	26104
1	241	19070
2	328	17195
3	402	15689
4	471	14617
5	548	14069
6	632	13820
7	729	13854
8	814	13671
9	923	13845
10	996	13498
11	1113	13738
12	1202	13601
13	1282	13377
14	1425	13781
15	1530	13770
16	1633	13740
17	1711	13505
18	1779	13204
19	1857	13002
20	1927	12757
21	2001	12556
22	2106	12545
23	2196	12447
24	2302	12432
25	2381	12274
26	2474	12191
27	2557	12056
28	2652	11980
29	2832	12273
30	2899	12066
31	2951	11805
32	3013	11598
33	3075	11398
34	3139	11211
35	3208	11050
36	3267	10862
37	3325	10676
38	3390	10518
39	3434	10302
40	3519	10215
41	3585	10074
42	3656	9949
43	3711	9784
44	3758	9604
45	3822	9473
46	3884	9338
47	3948	9212
48	4006	9076
49	4089	8997
50	4168	8908
51	4240	8807
52	4302	8686
53	4373	8584
54	4444	8484
55	4523	8401
56	4605	8323
57	4680	8230
58	4744	8122
59	4861	8103
60	5003	8121
61	5109	8076
62	5173	7964
63	5255	7883
64	5332	7793
65	5395	7684
66	5451	7567
67	5505	7449
68	5549	7318
69	5609	7211
70	5672	7110
71	5738	7013
72	5806	6919
73	5853	6802
74	5903	6691
75	5953	6580
76	6012	6481
77	6072	6384
78	6162	6318
79	6261	6261
80	6330	6174
81	6411	6098
82	6493	6024
83	6559	5934
84	6648	5866
85	6775	5830
86	6903	5793
87	6995	5723
88	7058	5630
89	7150	5561
90	7205	5463
91	7260	5366
92	7339	5287
93	7379	5181
94	7440	5090
95	7536	5024
96	7628	4954
97	7736	4894
98	7804	4808
99	7892	4735
100	7989	4667
101	8050	4577
102	8198	4536
103	8301	4470
104	8400	4400
105	8510	4335
106	8632	4275
107	8696	4187
108	8758	4098
109	8840	4018
110	8899	3928
111	8975	3846
112	9040	3760
113	9110	3676
114	9166	3586
115	9229	3500
116	9314	3423
117	9403	3347
118	9463	3260
119	9535	3178
120	9634	3105
121	9696	3020
122	9771	2939
123	9852	2860
124	9928	2779
125	10020	2704
126	10084	2620
127	10158	2539
128	10230	2458
129	10325	2382
130	10380	2298
131	10480	2223
132	10602	2152
133	10699	2076
134	10801	2000
135	10938	1930
136	11052	1855
137	11131	1774
138	11209	1693
139	11275	1610
140	11340	1528
141	11402	1445
142	11466	1363
143	11556	1284
144	11648	1205
145	11735	1125
146	11807	1044
147	11923	966
148	12050	889
149	12133	808
150	12197	726
151	12295	647
152	12367	565
153	12429	484
154	12484	402
155	12550	321
156	12607	240
157	12665	160
158	12726	80
159	12788	0
